Code,Year,Site,lat,lon,Plot.size..m2.,ele,Aspect,Degree.easting,Degree.northing,Average.slope,avg.SR,Quadrat,Species,Origin,Growth_form,Mean_SLA_mm2.mg.1,Mean_LDMC_mg.g.1,Mean_seed_mass_mg,Max_height_m,Evergreen,Deciduous,Cover
2022_MBo_NW_MBo1,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NW,-0.70709769,0.707115872,5.710593137,465094.8099,MBo1,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_NW_MBo2,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NW,-0.70709769,0.707115872,5.710593137,465094.8099,MBo2,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_NW_MBo3,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NW,-0.70709769,0.707115872,5.710593137,465094.8099,MBo3,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_NW_MBo4,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NW,-0.70709769,0.707115872,5.710593137,465094.8099,MBo4,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,1
2022_MBo_NW_MBo5,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NW,-0.70709769,0.707115872,5.710593137,465094.8099,MBo5,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_NE_MBo6,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NE,0.70710808,0.707105483,5.710593137,464879.4434,MBo6,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_NE_MBo7,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NE,0.70710808,0.707105483,5.710593137,464879.4434,MBo7,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_NE_MBo8,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NE,0.70710808,0.707105483,5.710593137,464879.4434,MBo8,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_NE_MBo9,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NE,0.70710808,0.707105483,5.710593137,464879.4434,MBo9,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_NE_MBo10,2022,MBo,-36.73858602,147.288477,5000,1982.326172,NE,0.70710808,0.707105483,5.710593137,464879.4434,MBo10,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SW_MBo11,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SW,-0.707113275,-0.707100288,5.710593137,460388.6511,MBo11,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SW_MBo12,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SW,-0.707113275,-0.707100288,5.710593137,460388.6511,MBo12,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SW_MBo13,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SW,-0.707113275,-0.707100288,5.710593137,460388.6511,MBo13,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SW_MBo14,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SW,-0.707113275,-0.707100288,5.710593137,460388.6511,MBo14,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SW_MBo15,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SW,-0.707113275,-0.707100288,5.710593137,460388.6511,MBo15,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SE_MBo16,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SE,0.707102885,-0.707110677,5.710593137,461009.8564,MBo16,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SE_MBo17,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SE,0.707102885,-0.707110677,5.710593137,461009.8564,MBo17,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SE_MBo18,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SE,0.707102885,-0.707110677,5.710593137,461009.8564,MBo18,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SE_MBo19,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SE,0.707102885,-0.707110677,5.710593137,461009.8564,MBo19,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBo_SE_MBo20,2022,MBo,-36.73858602,147.288477,5000,1982.326172,SE,0.707102885,-0.707110677,5.710593137,461009.8564,MBo20,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SW_MBu1,2022,MBu,-37.14356697,146.421798,612,1760.844482,SW,-0.707113275,-0.707100288,15.95682567,460900.0893,MBu1,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SW_MBu2,2022,MBu,-37.14356697,146.421798,612,1760.844482,SW,-0.707113275,-0.707100288,15.95682567,460900.0893,MBu2,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SW_MBu3,2022,MBu,-37.14356697,146.421798,612,1760.844482,SW,-0.707113275,-0.707100288,15.95682567,460900.0893,MBu3,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SW_MBu4,2022,MBu,-37.14356697,146.421798,612,1760.844482,SW,-0.707113275,-0.707100288,15.95682567,460900.0893,MBu4,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SW_MBu5,2022,MBu,-37.14356697,146.421798,612,1760.844482,SW,-0.707113275,-0.707100288,15.95682567,460900.0893,MBu5,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NW_MBu6,2022,MBu,-37.14356697,146.421798,612,1760.844482,NW,-0.70709769,0.707115872,15.56655159,482240.6922,MBu6,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NW_MBu7,2022,MBu,-37.14356697,146.421798,612,1760.844482,NW,-0.70709769,0.707115872,15.56655159,482240.6922,MBu7,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NW_MBu8,2022,MBu,-37.14356697,146.421798,612,1760.844482,NW,-0.70709769,0.707115872,15.56655159,482240.6922,MBu8,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NW_MBu9,2022,MBu,-37.14356697,146.421798,612,1760.844482,NW,-0.70709769,0.707115872,15.56655159,482240.6922,MBu9,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NW_MBu10,2022,MBu,-37.14356697,146.421798,612,1760.844482,NW,-0.70709769,0.707115872,15.56655159,482240.6922,MBu10,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NE_MBu11,2022,MBu,-37.14356697,146.421798,612,1760.844482,NE,0.70710808,0.707105483,16.04879374,463313.9391,MBu11,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NE_MBu12,2022,MBu,-37.14356697,146.421798,612,1760.844482,NE,0.70710808,0.707105483,16.04879374,463313.9391,MBu12,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NE_MBu13,2022,MBu,-37.14356697,146.421798,612,1760.844482,NE,0.70710808,0.707105483,16.04879374,463313.9391,MBu13,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NE_MBu14,2022,MBu,-37.14356697,146.421798,612,1760.844482,NE,0.70710808,0.707105483,16.04879374,463313.9391,MBu14,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_NE_MBu15,2022,MBu,-37.14356697,146.421798,612,1760.844482,NE,0.70710808,0.707105483,16.04879374,463313.9391,MBu15,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SE_MBu16,2022,MBu,-37.14356697,146.421798,612,1760.844482,SE,0.707102885,-0.707110677,16.43906782,441202.4912,MBu16,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SE_MBu17,2022,MBu,-37.14356697,146.421798,612,1760.844482,SE,0.707102885,-0.707110677,16.43906782,441202.4912,MBu17,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SE_MBu18,2022,MBu,-37.14356697,146.421798,612,1760.844482,SE,0.707102885,-0.707110677,16.43906782,441202.4912,MBu18,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SE_MBu19,2022,MBu,-37.14356697,146.421798,612,1760.844482,SE,0.707102885,-0.707110677,16.43906782,441202.4912,MBu19,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MBu_SE_MBu20,2022,MBu,-37.14356697,146.421798,612,1760.844482,SE,0.707102885,-0.707110677,16.43906782,441202.4912,MBu20,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MM_SW_MM1,2022,MM,-37.18933803,146.620695,1710,1728.878052,SW,-0.707113275,-0.707100288,10.8049878,453403.9612,MM1,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MM_SW_MM2,2022,MM,-37.18933803,146.620695,1710,1728.878052,SW,-0.707113275,-0.707100288,10.8049878,453403.9612,MM2,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
2022_MM_SW_MM3,2022,MM,-37.18933803,146.620695,1710,1728.878052,SW,-0.707113275,-0.707100288,10.8049878,453403.9612,MM3,Acaena.novae.zelandiae,Native,Forb,13.12075909,341.3718802,1.70625,0.473,1,0,0
