"Code","Year","Site","Lat","Long","Elevation","Quadrat","Aspect","Degree.easting","Degree.northing","Average.slope","species_richness","hill_1","hill_2"
"2022_MBo_SE_MBo18",2022,"MBo",-36.73287501,147.30579,1950,"MBo18","SE",0.707102885,-0.707110677,5.710593137,7,3.00437020965638,0.49900911613159
"2022_MBo_SE_MBo19",2022,"MBo",-36.73287501,147.30579,1950,"MBo19","SE",0.707102885,-0.707110677,5.710593137,7,3.96056675254993,0.362762548949804
"2022_MBo_SE_MBo20",2022,"MBo",-36.73287501,147.30579,1950,"MBo20","SE",0.707102885,-0.707110677,5.710593137,6,3.12081093081818,0.442415388361334
"2022_MBo_SW_MBo11",2022,"MBo",-36.73287501,147.30579,1950,"MBo11","SW",-0.707113275,-0.707100288,5.710593137,5,2.74494957961634,0.515
"2022_MBo_SW_MBo12",2022,"MBo",-36.73287501,147.30579,1950,"MBo12","SW",-0.707113275,-0.707100288,5.710593137,6,2.83074447632806,0.473797366299382
"2022_MBo_SW_MBo13",2022,"MBo",-36.73287501,147.30579,1950,"MBo13","SW",-0.707113275,-0.707100288,5.710593137,5,2.88816588286949,0.377170138888889
"2022_MBo_SW_MBo14",2022,"MBo",-36.73287501,147.30579,1950,"MBo14","SW",-0.707113275,-0.707100288,5.710593137,5,3.25968172926602,0.366319444444445
"2022_MBo_SW_MBo15",2022,"MBo",-36.73287501,147.30579,1950,"MBo15","SW",-0.707113275,-0.707100288,5.710593137,5,2.83006220898949,0.416162335350659
"2022_MBu_NE_MBu11",2022,"MBu",-37.14502101,146.425278,1805,"MBu11","NE",0.70710808,0.707105483,16.04879374,10,6.08405439156228,0.199556786703601
"2022_MBu_NE_MBu12",2022,"MBu",-37.14502101,146.425278,1805,"MBu12","NE",0.70710808,0.707105483,16.04879374,6,3.81220412412656,0.320130419031518
"2022_MBu_NE_MBu13",2022,"MBu",-37.14502101,146.425278,1805,"MBu13","NE",0.70710808,0.707105483,16.04879374,8,4.42810449319867,0.320451843043995
"2022_MBu_NE_MBu14",2022,"MBu",-37.14502101,146.425278,1805,"MBu14","NE",0.70710808,0.707105483,16.04879374,4,2.10113517843941,0.531899810964083
"2022_MBu_NE_MBu15",2022,"MBu",-37.14502101,146.425278,1805,"MBu15","NE",0.70710808,0.707105483,16.04879374,6,4.1550633206309,0.283838841104572
"2022_MBu_NW_MBu10",2022,"MBu",-37.14502101,146.425278,1805,"MBu10","NW",-0.70709769,0.707115872,15.56655159,7,3.02789400147523,0.469648004192506
"2022_MBu_NW_MBu6",2022,"MBu",-37.14502101,146.425278,1805,"MBu6","NW",-0.70709769,0.707115872,15.56655159,11,5.92514405296254,0.250751156995372
"2022_MBu_NW_MBu7",2022,"MBu",-37.14502101,146.425278,1805,"MBu7","NW",-0.70709769,0.707115872,15.56655159,8,3.89260750280814,0.385272491349481
"2022_MBu_NW_MBu8",2022,"MBu",-37.14502101,146.425278,1805,"MBu8","NW",-0.70709769,0.707115872,15.56655159,9,2.46606358595991,0.593450281889445
"2022_MBu_NW_MBu9",2022,"MBu",-37.14502101,146.425278,1805,"MBu9","NW",-0.70709769,0.707115872,15.56655159,12,6.54687859746416,0.201873048907388
"2022_MBu_SE_MBu16",2022,"MBu",-37.14502101,146.425278,1805,"MBu16","SE",0.707102885,-0.707110677,16.43906782,6,4.94815466539835,0.226666666666667
"2022_MBu_SE_MBu17",2022,"MBu",-37.14502101,146.425278,1805,"MBu17","SE",0.707102885,-0.707110677,16.43906782,10,5.60165560230999,0.218101320946436
"2022_MBu_SE_MBu18",2022,"MBu",-37.14502101,146.425278,1805,"MBu18","SE",0.707102885,-0.707110677,16.43906782,7,3.6090840687319,0.348283558295249
"2022_MBu_SE_MBu19",2022,"MBu",-37.14502101,146.425278,1805,"MBu19","SE",0.707102885,-0.707110677,16.43906782,12,7.4168453184766,0.173719505145103
"2022_MBu_SE_MBu20",2022,"MBu",-37.14502101,146.425278,1805,"MBu20","SE",0.707102885,-0.707110677,16.43906782,7,4.27228255195178,0.305175490779298
"2022_MBu_SW_MBu1",2022,"MBu",-37.14502101,146.425278,1805,"MBu1","SW",-0.707113275,-0.707100288,15.95682567,10,6.29310209325377,0.222959005610889
"2022_MBu_SW_MBu2",2022,"MBu",-37.14502101,146.425278,1805,"MBu2","SW",-0.707113275,-0.707100288,15.95682567,9,4.85917325123044,0.28597540970801
"2022_MBu_SW_MBu3",2022,"MBu",-37.14502101,146.425278,1805,"MBu3","SW",-0.707113275,-0.707100288,15.95682567,11,6.17757186788953,0.225174684224671
"2022_MBu_SW_MBu4",2022,"MBu",-37.14502101,146.425278,1805,"MBu4","SW",-0.707113275,-0.707100288,15.95682567,12,6.18451419544224,0.231674382716049
"2022_MBu_SW_MBu5",2022,"MBu",-37.14502101,146.425278,1805,"MBu5","SW",-0.707113275,-0.707100288,15.95682567,11,5.19248756875451,0.25399102591496
"2022_MF_NE_MF16",2022,"MF",-36.829469,147.319257,1870,"MF16","NE",0.70710808,0.707105483,5.710593137,18,13.3905054535627,0.0840147986733875
"2022_MF_NE_MF17",2022,"MF",-36.829469,147.319257,1870,"MF17","NE",0.70710808,0.707105483,5.710593137,15,7.27884126494005,0.196150822478082
"2022_MF_NE_MF18",2022,"MF",-36.829469,147.319257,1870,"MF18","NE",0.70710808,0.707105483,5.710593137,20,11.7417505465683,0.110883292204964
"2022_MF_NE_MF19",2022,"MF",-36.829469,147.319257,1870,"MF19","NE",0.70710808,0.707105483,5.710593137,23,13.686248131031,0.0973671062393072
