Code,Year,Site,lat,lon,ele,Plot.size..m2.,Aspect,Quadrat,Species,Cover,Origin,Growth_form,Shrub,Forb,Graminoid,Mean_SLA_mm2.mg.1,Mean_LDMC_mg.g.1,Mean_seed_mass_mg,Max_height_m,Strategy,Evergreen,Deciduous,avg.SR
2022_MSt_NW_MSt9,2022,MSt,-37.129005,146.499058,1725,1260,NW,MSt9,Leionema.phylicifolium,85,Endemic,Shrub,1,0,0,6.72,416.5413534,2.4004,1.6,Evergreen,1,0,486082.4755
2022_MSt_SE_MSt15,2022,MSt,-37.129005,146.499058,1725,1260,SE,MSt15,Leionema.phylicifolium,10,Endemic,Shrub,1,0,0,6.72,416.5413534,2.4004,1.6,Evergreen,1,0,393523.9032
2022_MSt_SW_MSt16,2022,MSt,-37.129005,146.499058,1725,1260,SW,MSt16,Leionema.phylicifolium,60,Endemic,Shrub,1,0,0,6.72,416.5413534,2.4004,1.6,Evergreen,1,0,467706.5634
2022_MSt_SW_MSt18,2022,MSt,-37.129005,146.499058,1725,1260,SW,MSt18,Leionema.phylicifolium,30,Endemic,Shrub,1,0,0,6.72,416.5413534,2.4004,1.6,Evergreen,1,0,467706.5634
2022_MSt_SW_MSt19,2022,MSt,-37.129005,146.499058,1725,1260,SW,MSt19,Leionema.phylicifolium,65,Endemic,Shrub,1,0,0,6.72,416.5413534,2.4004,1.6,Evergreen,1,0,467706.5634
2022_MBo_NW_MBo4,2022,MBo,-36.73858602,147.288477,1982.326172,5000,NW,MBo4,Acaena.novae.zelandiae,5,Native,Forb,0,1,0,13.12075909,341.3718802,1.70625,0.473,Evergreen,1,0,465094.8099
2022_LSK_SW_LSK10,2022,LSK,-36.82634,147.2815,1797,1444,SW,LSK10,Acaena.novae.zelandiae,10,Native,Forb,0,1,0,13.12075909,341.3718802,1.70625,0.473,Evergreen,1,0,459126.283
2022_LSK_SE_LSK14,2022,LSK,-36.82634,147.2815,1797,1444,SE,LSK14,Acaena.novae.zelandiae,5,Native,Forb,0,1,0,13.12075909,341.3718802,1.70625,0.473,Evergreen,1,0,452934.7812
2022_MH_S_MH12,2022,MH,-37.17422999,146.647766,1741.986938,1938,S,MH12,Bossiaea.foliosa,5,Endemic,Shrub,1,0,0,8.025959596,412.5,2.8255,1.5,Evergreen,1,0,465077.389
2022_MSt_NE_MSt1,2022,MSt,-37.129005,146.499058,1725,1260,NE,MSt1,Olearia.phlogopappa.subsp..flavescens,10,Native,Shrub,1,0,0,9.046610169,412.2270742,0.435,1.4,Evergreen,1,0,454786.5586
2022_MSt_NE_MSt3,2022,MSt,-37.129005,146.499058,1725,1260,NE,MSt3,Olearia.phlogopappa.subsp..flavescens,0.5,Native,Shrub,1,0,0,9.046610169,412.2270742,0.435,1.4,Evergreen,1,0,454786.5586
2022_MSt_SW_MSt17,2022,MSt,-37.129005,146.499058,1725,1260,SW,MSt17,Olearia.phlogopappa.subsp..flavescens,15,Native,Shrub,1,0,0,9.046610169,412.2270742,0.435,1.4,Evergreen,1,0,467706.5634
2022_MM_SE_MM19,2022,MM,-37.18933803,146.620695,1728.878052,1710,SE,MM19,Arthropodium.milleflorum,0.5,Native,Forb,0,1,0,21.04600219,180.0788955,1.2538,1.3,Deciduous,0,1,468098.3536
2022_MSp_SW_MSp3,2022,MSp,-37.125625,146.642424,1641,1197,SW,MSp3,Arthropodium.milleflorum,25,Native,Forb,0,1,0,21.04600219,180.0788955,1.2538,1.3,Deciduous,0,1,436439.2532
2022_MSp_SW_MSp4,2022,MSp,-37.125625,146.642424,1641,1197,SW,MSp4,Arthropodium.milleflorum,5,Native,Forb,0,1,0,21.04600219,180.0788955,1.2538,1.3,Deciduous,0,1,436439.2532
2022_MSp_SE_MSp7,2022,MSp,-37.125625,146.642424,1641,1197,SE,MSp7,Arthropodium.milleflorum,1,Native,Forb,0,1,0,21.04600219,180.0788955,1.2538,1.3,Deciduous,0,1,395055.9828
2022_MSp_SE_MSp8,2022,MSp,-37.125625,146.642424,1641,1197,SE,MSp8,Arthropodium.milleflorum,5,Native,Forb,0,1,0,21.04600219,180.0788955,1.2538,1.3,Deciduous,0,1,395055.9828
2022_LSK_SW_LSK7,2022,LSK,-36.82634,147.2815,1797,1444,SW,LSK7,Arthropodium.milleflorum,0.5,Native,Forb,0,1,0,21.04600219,180.0788955,1.2538,1.3,Deciduous,0,1,459126.283
2022_MHW_SW_MHW10,2022,MHW,-37.17599,146.6418,1689,954,SW,MHW10,Arthropodium.milleflorum,5,Native,Forb,0,1,0,21.04600219,180.0788955,1.2538,1.3,Deciduous,0,1,449588.5707
2022_MHW_SE_MHW11,2022,MHW,-37.17599,146.6418,1689,954,SE,MHW11,Arthropodium.milleflorum,60,Native,Forb,0,1,0,21.04600219,180.0788955,1.2538,1.3,Deciduous,0,1,447474.8946
2022_BF_N_BF2,2022,BF,-37.241018,146.483143,1688.912842,1742,N,BF2,Phebalium.squamulosum.subsp..alpinum,20,Endemic,Shrub,1,0,0,6.28,486.6666667,1.3,1.3,Evergreen,1,0,484289.3818
2022_BF_N_BF4,2022,BF,-37.241018,146.483143,1688.912842,1742,N,BF4,Phebalium.squamulosum.subsp..alpinum,10,Endemic,Shrub,1,0,0,6.28,486.6666667,1.3,1.3,Evergreen,1,0,484289.3818
2022_BF_N_BF5,2022,BF,-37.241018,146.483143,1688.912842,1742,N,BF5,Phebalium.squamulosum.subsp..alpinum,10,Endemic,Shrub,1,0,0,6.28,486.6666667,1.3,1.3,Evergreen,1,0,484289.3818
2022_BF_S_BF14,2022,BF,-37.241018,146.483143,1688.912842,1742,S,BF14,Phebalium.squamulosum.subsp..alpinum,10,Endemic,Shrub,1,0,0,6.28,486.6666667,1.3,1.3,Evergreen,1,0,460774.8619
2022_BF_E_BF16,2022,BF,-37.241018,146.483143,1688.912842,1742,E,BF16,Phebalium.squamulosum.subsp..alpinum,10,Endemic,Shrub,1,0,0,6.28,486.6666667,1.3,1.3,Evergreen,1,0,470810.5695
